producing_world_region,scope,indicator,unit,value,share_of_scope_pct
Denmark,Outside protocol,blue_water_consumption,Mm3,0.0709,100.0
Europe,Scope 2,blue_water_consumption,Mm3,0.01940941722886436,54.897287774336654
Denmark,Scope 2,blue_water_consumption,Mm3,0.012976325905406,36.702034331214854
Asia and Pacific,Scope 2,blue_water_consumption,Mm3,0.0019159365348817858,5.419004500369784
Middle East,Scope 2,blue_water_consumption,Mm3,0.0006878316527726054,1.9454521347710065
America,Scope 2,blue_water_consumption,Mm3,0.00033905925199496055,0.9589898094229253
Africa,Scope 2,blue_water_consumption,Mm3,2.7305855986291895e-05,0.07723144988479215
Asia and Pacific,Scope 3,blue_water_consumption,Mm3,27.65242188950619,48.19766260530933
Middle East,Scope 3,blue_water_consumption,Mm3,12.676051594038944,22.09412471494347
Europe,Scope 3,blue_water_consumption,Mm3,5.673983205812328,9.88964833802547
Denmark,Scope 3,blue_water_consumption,Mm3,5.065408812094918,8.828914366302236
America,Scope 3,blue_water_consumption,Mm3,3.725261664114846,6.493062543344078
Africa,Scope 3,blue_water_consumption,Mm3,2.5798249544388323,4.496587432075406
Denmark,Outside protocol,climate_change,kt CO2eq,293.4753186512448,100.0
Denmark,Scope 1,climate_change,kt CO2eq,164.3446991455533,100.0
Europe,Scope 2,climate_change,kt CO2eq,9.927204358254178,50.669492349286365
Denmark,Scope 2,climate_change,kt CO2eq,4.891073209918721,24.964550707945715
Asia and Pacific,Scope 2,climate_change,kt CO2eq,3.19493272541415,16.307271759974782
Middle East,Scope 2,climate_change,kt CO2eq,1.0525466392793577,5.372308452770844
America,Scope 2,climate_change,kt CO2eq,0.35178162584992684,1.7955303181405509
Africa,Scope 2,climate_change,kt CO2eq,0.1745352868665985,0.890846411881751
Denmark,Scope 3,climate_change,kt CO2eq,2760.240461813555,46.92688461755162
Europe,Scope 3,climate_change,kt CO2eq,1311.6804735075698,22.299897087568638
Asia and Pacific,Scope 3,climate_change,kt CO2eq,1150.186482678087,19.554335612426776
Middle East,Scope 3,climate_change,kt CO2eq,328.61389679505606,5.5867692079601285
America,Scope 3,climate_change,kt CO2eq,210.34174342095798,3.576022763351795
Africa,Scope 3,climate_change,kt CO2eq,120.93930420277218,2.0560907111410263
Denmark,Outside protocol,land_use,km2,0.6451,100.0
Asia and Pacific,Scope 2,land_use,km2,0.05800812832185682,62.17113674606345
Europe,Scope 2,land_use,km2,0.018586243807142015,19.920103246877407
Africa,Scope 2,land_use,km2,0.008836638173444959,9.470807904859242
America,Scope 2,land_use,km2,0.007801111938504306,8.36096614614189
Middle East,Scope 2,land_use,km2,7.183094039657179e-05,0.07698595605800525
Asia and Pacific,Scope 3,land_use,km2,1040.4941595561168,29.60532335451446
Europe,Scope 3,land_use,km2,954.9830472309969,27.17226392064952
Africa,Scope 3,land_use,km2,581.3171218168354,16.540295978446476
America,Scope 3,land_use,km2,474.9594818832502,13.514087428847223
Denmark,Scope 3,land_use,km2,333.81024572435507,9.497948809184512
Middle East,Scope 3,land_use,km2,128.9868476800386,3.670080508357811
Denmark,Outside protocol,material_extraction,kt,9.9254,100.0
Europe,Scope 2,material_extraction,kt,0.1666052690442461,81.86703044947092
Asia and Pacific,Scope 2,material_extraction,kt,0.027571631939459797,13.54823676632882
America,Scope 2,material_extraction,kt,0.006609054532441937,3.24757837344235
Middle East,Scope 2,material_extraction,kt,0.002676782863383076,1.3153261324826777
Africa,Scope 2,material_extraction,kt,4.442210930150886e-05,0.021828278275223906
Denmark,Scope 3,material_extraction,kt,1858.4973555428696,59.61417393222244
Europe,Scope 3,material_extraction,kt,542.0804970478729,17.38806942065195
Asia and Pacific,Scope 3,material_extraction,kt,391.1520136366583,12.546805140900247
Middle East,Scope 3,material_extraction,kt,161.17177142331923,5.169833567929723
America,Scope 3,material_extraction,kt,115.74313413073894,3.7126398425866705
Africa,Scope 3,material_extraction,kt,48.89797510934616,1.5684780957089748
Denmark,Scope 1,waste_generation,kt,42.71652604695465,100.0
Denmark,Scope 2,waste_generation,kt,8.344259761417183,97.02700560020945
Europe,Scope 2,waste_generation,kt,0.2031872117557731,2.3626597561207774
Asia and Pacific,Scope 2,waste_generation,kt,0.03673524959958603,0.4271572758442944
America,Scope 2,waste_generation,kt,0.010776898930501015,0.1253137201837327
Middle East,Scope 2,waste_generation,kt,0.0031766477832877943,0.03693804256719469
Africa,Scope 2,waste_generation,kt,0.001799588509681993,0.020925605074563487
Denmark,Scope 3,waste_generation,kt,105.85691117390293,47.855874443842154
Europe,Scope 3,waste_generation,kt,60.551250170877374,27.374056105177246
Asia and Pacific,Scope 3,waste_generation,kt,30.679561538138184,13.869639957180487
Africa,Scope 3,waste_generation,kt,13.286716736179267,6.006669199452776
America,Scope 3,waste_generation,kt,7.484647669904691,3.383665319299987
Middle East,Scope 3,waste_generation,kt,3.3403211516974594,1.5100949750473436
